Date : 2026-04-01 21:15:58
Directory : c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP
Total : 109 files,  66547 codes, 7684 comments, 8091 blanks, all 82322 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\enemy_unit.lua            | Lua      |         38 |          3 |          8 |         49 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\giant_enemy.lua           | Lua      |         18 |          0 |          5 |         23 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_a.lua               | Lua      |        301 |         55 |         58 |        414 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_b.lua               | Lua      |        411 |         65 |         64 |        540 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_building.lua        | Lua      |         84 |         10 |         17 |        111 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_building_blight.lua | Lua      |         27 |          3 |          9 |         39 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_c.lua               | Lua      |        517 |         90 |        113 |        720 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\mining_base.lua           | Lua      |        255 |         36 |         45 |        336 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\roaming_bot.lua           | Lua      |         20 |          1 |          6 |         27 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\robot_base.lua            | Lua      |        214 |         28 |         36 |        278 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\ruined_components.lua     | Lua      |        109 |          4 |         21 |        134 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\spawn_base_alien.lua      | Lua      |        432 |        104 |         10 |        546 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\spawn_base_human.lua      | Lua      |        505 |        139 |         10 |        654 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\world_a.lua               | Lua      |        133 |         20 |         27 |        180 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\frames.lua                            | Lua      |      2,937 |        156 |        227 |      3,320 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\instructions.lua                      | Lua      |      6,524 |        232 |        640 |      7,396 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\items.lua                             | Lua      |        872 |         25 |        105 |      1,002 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\landfeatures.lua                      | Lua      |        842 |        107 |         63 |      1,012 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\library.lua                           | Lua      |      1,271 |         82 |        121 |      1,474 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\map_settings.lua                      | Lua      |        167 |          0 |         19 |        186 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\puzzles.lua                           | Lua      |         55 |          4 |          6 |         65 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\stability.lua                         | Lua      |         70 |          2 |         10 |         82 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\techs.lua                             | Lua      |        319 |         17 |         29 |        365 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\BlueprintEditor.lua                | Lua      |      1,567 |         36 |        137 |      1,740 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\BuildView.lua                      | Lua      |        393 |          8 |         48 |        449 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Challenges.lua                     | Lua      |         53 |          1 |         11 |         65 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Codex.lua                          | Lua      |      1,080 |         12 |         91 |      1,183 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\DefinitionTooltip.lua              | Lua      |      1,031 |         34 |         98 |      1,163 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Effects.lua                        | Lua      |         75 |          5 |          9 |         89 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Explorable.lua                     | Lua      |        546 |         13 |         48 |        607 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Faction.lua                        | Lua      |      1,335 |         24 |        103 |      1,462 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\FrameView.lua                      | Lua      |      2,694 |         71 |        268 |      3,033 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\HoverEntity.lua                    | Lua      |        215 |          2 |         27 |        244 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\InGameMenu.lua                     | Lua      |        715 |          8 |         63 |        786 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Inventory.lua                      | Lua      |         36 |          2 |          4 |         42 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\ItemSlot.lua                       | Lua      |        401 |          7 |         32 |        440 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Library.lua                        | Lua      |      1,062 |          6 |         89 |      1,157 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\LinkEditor.lua                     | Lua      |        264 |          8 |         27 |        299 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\LoadSave.lua                       | Lua      |        339 |          2 |         27 |        368 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\MapOverlay.lua                     | Lua      |        578 |          7 |         67 |        652 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Music.lua                          | Lua      |         91 |          5 |         10 |        106 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Notification.lua                   | Lua      |        170 |          6 |         22 |        198 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Options.lua                        | Lua      |        993 |          4 |        106 |      1,103 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Program.lua                        | Lua      |      2,520 |         44 |        247 |      2,811 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Reg.lua                            | Lua      |        528 |          2 |         42 |        572 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\RegisterSelection.lua              | Lua      |        805 |          8 |        101 |        914 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\ReplayPlayer.lua                   | Lua      |        120 |          0 |         15 |        135 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\ResourceBar.lua                    | Lua      |        329 |          5 |         30 |        364 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\ShortcutBar.lua                    | Lua      |        295 |          5 |         33 |        333 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\SideBar.lua                        | Lua      |        535 |          4 |         56 |        595 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Skin.lua                           | Lua      |        633 |         39 |         56 |        728 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\SocketList.lua                     | Lua      |        290 |          1 |         28 |        319 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\TalkingHead.lua                    | Lua      |        150 |         10 |         19 |        179 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Tech.lua                           | Lua      |      1,094 |         34 |        140 |      1,268 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\TextChat.lua                       | Lua      |         62 |          0 |         11 |         73 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\minigame\balance.lua               | Lua      |        109 |          0 |         16 |        125 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\minigame\netwalk.lua               | Lua      |        144 |          7 |         20 |        171 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\minigame\nineclicks.lua            | Lua      |         69 |          4 |         11 |         84 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\minigame\slide.lua                 | Lua      |        108 |          6 |         21 |        135 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\ui.lua                             | Lua      |        742 |         28 |         82 |        852 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\utilities.lua                      | Lua      |        251 |          2 |         25 |        278 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\viruspopup.lua                     | Lua      |         48 |          1 |         10 |         59 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\widgets.lua                        | Lua      |        138 |          0 |         12 |        150 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\utilities.lua                         | Lua      |        710 |         56 |         78 |        844 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\values.lua                            | Lua      |        119 |          9 |         11 |        139 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\visualassets.lua                      | Lua      |      3,257 |          6 |         68 |      3,331 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\visuals.lua                           | Lua      |      2,783 |        202 |        313 |      3,298 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\data.lua                                                   | Lua      |         20 |          3 |          7 |         30 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\def.json                                                   | JSON     |         27 |          0 |          1 |         28 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\desynced-lls-library.lua                                   | Lua      |        624 |      3,250 |        580 |      4,454 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\ui.lua                                                     | Lua      |         22 |          6 |          6 |         34 |
| Total                                                                                                                                                |          |     66,547 |      7,684 |      8,091 |     82,322 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
