"filename", "language", "Lua", "JSON", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\instructions.lua", "Lua", 6524, 0, 232, 640, 7396
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\items.lua", "Lua", 872, 0, 25, 105, 1002
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\landfeatures.lua", "Lua", 842, 0, 107, 63, 1012
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\library.lua", "Lua", 1271, 0, 82, 121, 1474
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\map_settings.lua", "Lua", 167, 0, 0, 19, 186
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\puzzles.lua", "Lua", 55, 0, 4, 6, 65
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\stability.lua", "Lua", 70, 0, 2, 10, 82
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\techs.lua", "Lua", 319, 0, 17, 29, 365
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\BlueprintEditor.lua", "Lua", 1567, 0, 36, 137, 1740
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\BuildView.lua", "Lua", 393, 0, 8, 48, 449
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Challenges.lua", "Lua", 53, 0, 1, 11, 65
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Codex.lua", "Lua", 1080, 0, 12, 91, 1183
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\DefinitionTooltip.lua", "Lua", 1031, 0, 34, 98, 1163
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Effects.lua", "Lua", 75, 0, 5, 9, 89
